Ullswater,Ullswater,FDF22160_002,327 Ullswater-Mortat Road Ullswater vic 3318
Vectis,Vectis,FDF22092_001,"Tuckers Rd, Vectis, VIC 3401"
Wallup,Wallup,FDF22087_001,45 Elsoms road Wallup 3401 Victoria 
Wallup 2,Wallup 2,FDF22158_001,"650 Wallup Hall Rd, Wallup, VIC 3401"
Warracknabeal,Warracknabeal,FDF22100_001,Warracknabeal - Watchem Rd Warracknabeal 3393 vic
Warracknabeal 2,Warracknabeal 2,FDF22023_001,"164 Batchica West Rd, Warracknabeal, VIC 3393"
Warrak,,,
Watchem,Watchem,FDF22101_001,59A Walder Rd Watchem 3482 vic
Woorak,,,
Yanac,Yanac,FDF22095_002,"""Rumbalara Plains"" 1500 Murryville Rd Yanac 3418 vic"
,Beulah 2,FDF22165,210 Hoffmann Rd Beulah 3395 vic
,Dimboola,FDF22091_001,"Warracknabeal-Dimboola Rd, Dimboola, VIC 3414"
,Glenlee 2,FDF22164_001,Schwedes Road Glenlee 3418 Vic
,Kaniva 2,FDF22095_001,Sandsmere Rd Kaniva 3419 vic
,Location,EOI_SITE,SiteAddres
,Moyston,FDF22157_001,"Robinson Rd, Moyston, VIC 3377"
,Mt Dryden east,FDF22155_002,"Deaneys, Mt Dryden, VIC 3381"
,Mt Dryden west,FDF22155_001,"Deaneys, Mt Dryden, VIC 3381"
,Wallup 3,FDF22158_002,"McRaes Rd, Wallup VIC 3401?"
